id,x,y
IMG4287_3,28.11932192,-73.01728035
IMG4288_5,91.21932192,-38.91728035
IMG4289_5,-2.080678081,-71.81728035
IMG4290_4,13.81932192,-75.51728035
IMG4291_5,85.51932192,-25.01728035
IMG4292_3,5.519321918,22.68271965
IMG4293_3,56.11932192,-47.11728035
IMG4294_1,47.71932192,-15.41728035
IMG4295_1,-3.780678081,-65.91728035
IMG4296_1,-158.0806781,17.58271965
IMG4297_4,12.71932192,-70.21728035
IMG4298_1,28.21932192,-12.31728035
IMG4299_3,41.11932192,-42.51728035
IMG4300_5,39.41932192,-14.41728035
IMG4302_2,52.61932192,-68.01728035
IMG4303_2,28.41932192,-70.61728035
IMG4305_5,40.81932192,8.38271965
IMG4306_4,34.01932192,3.88271965
IMG4307_4,55.41932192,-48.31728035
IMG4308_3,62.21932192,-56.11728035
IMG4309_1,14.81932192,32.78271965
IMG4310_4,75.01932192,-47.61728035
IMG4311_4,41.01932192,7.88271965
IMG4312_2,47.31932192,-20.21728035
IMG4313_3,17.01932192,-64.91728035
IMG4314_5,-140.7806781,82.48271965
IMG4315_5,10.01932192,34.28271965
IMG4316_2,14.81932192,32.78271965
IMG4318_2,14.81932192,32.78271965
IMG4319_2,17.01932192,-64.91728035
IMG4320_2,61.21932192,-68.01728035
IMG4321_5,46.41932192,-27.71728035
IMG4322_4,17.01932192,-64.91728035
IMG4323_2,8.819321918,-68.51728035
IMG4324_5,31.41932192,-24.11728035
IMG4325_4,-141.8806781,98.48271965
IMG4326_5,11.51932192,15.88271965
IMG4327_4,5.719321918,-67.41728035
IMG4328_4,55.71932192,-63.61728035
IMG4329_1,38.01932192,2.98271965
IMG4330_4,43.51932192,6.58271965
IMG4331_2,40.51932192,5.18271965
IMG4332_3,23.11932192,-73.01728035
IMG4333_2,-2.980678082,26.08271965
IMG4334_3,4.219321919,24.08271965
IMG4335_4,64.61932192,-62.41728035
IMG4336_4,52.81932192,-13.51728035
IMG4337_2,2.519321919,-61.11728035
IMG4338_3,27.61932192,-72.11728035
IMG4339_5,-16.48067808,14.38271965
IMG4340_4,51.81932192,-0.11728035
IMG4341_5,14.71932192,-62.31728035
IMG4342_5,66.31932192,-44.51728035
IMG4343_5,-28.58067808,23.18271965
IMG4344_5,-0.780678081,-71.41728035
IMG4345_3,45.61932192,-0.71728035
IMG4346_3,21.91932192,2.38271965
IMG4347_5,-27.68067808,34.38271965
IMG4348_5,43.81932192,-1.01728035
IMG4349_5,-42.28067808,46.68271965
IMG4350_2,-152.1806781,85.38271965
IMG4351_1,50.31932192,-68.01728035
IMG4352_4,30.11932192,-77.01728035
IMG4353_3,6.619321918,-66.91728035
IMG4354_3,-2.380678082,-61.71728035
IMG4355_2,42.41932192,-12.71728035
IMG4356_2,1.819321919,-72.11728035
IMG4357_5,-59.98067808,38.08271965
IMG4358_2,48.21932192,-5.51728035
IMG4359_3,38.01932192,2.98271965
IMG4360_4,6.019321918,22.08271965
IMG4361_4,17.01932192,-64.91728035
IMG4362_2,35.31932192,-26.91728035
IMG4363_2,4.219321919,24.08271965
IMG4364_1,14.81932192,32.78271965
IMG4365_4,43.81932192,-1.01728035
IMG4366_1,-119.5806781,102.1827196
IMG4367_1,54.51932192,-69.01728035
IMG4369_4,54.81932192,-13.61728035
IMG4370_4,-49.68067808,18.48271965
IMG4371_1,5.819321919,22.38271965
IMG4372_3,-99.78067808,104.1827196
IMG4373_1,38.91932192,4.38271965
IMG4374_3,-69.98067808,25.78271965
IMG4375_3,48.81932192,10.38271965
IMG4376_2,42.51932192,-12.01728035
IMG4377_1,70.01932192,-27.51728035
IMG4378_3,31.21932192,2.98271965
IMG4379_2,-96.98067808,45.28271965
IMG4380_4,49.61932192,1.08271965
IMG4381_5,13.11932192,-59.41728035
IMG4382_4,51.91932192,-28.91728035
IMG4383_3,38.61932192,2.28271965
IMG4384_3,38.01932192,2.98271965
IMG4385_4,19.71932192,-67.51728035
IMG4387_1,-2.980678082,26.08271965
IMG4388_5,-10.48067808,27.78271965
IMG4389_5,38.01932192,2.98271965
IMG4390_3,30.91932192,4.282719649
IMG4391_5,5.819321919,39.08271965
IMG4392_1,17.01932192,-64.91728035
IMG4393_4,24.31932192,-66.71728035
IMG4394_4,72.41932192,-13.91728035
IMG4395_4,59.11932192,-15.71728035
IMG4396_3,-53.48067808,28.58271965
IMG4397_4,7.119321918,20.68271965
IMG4399_1,46.21932192,-17.21728035
IMG4400_5,4.519321918,-70.71728035
IMG4401_4,44.31932192,-51.61728035
IMG4402_3,47.71932192,-15.41728035
IMG4404_2,-5.680678082,28.38271965
IMG4405_4,55.71932192,-63.61728035
IMG4406_2,56.31932192,-67.01728035
IMG4407_1,14.41932192,27.88271965
IMG4408_4,44.51932192,8.58271965
IMG4409_2,46.31932192,-53.81728035
IMG4410_1,43.81932192,-65.21728035
IMG4411_5,3.019321919,25.58271965
IMG4412_2,2.119321918,-66.91728035
IMG4413_4,11.51932192,15.88271965
IMG4414_2,-82.08067808,62.48271965
IMG4415_2,17.01932192,-64.91728035
IMG4416_5,33.31932192,-76.61728035
IMG4417_4,59.31932192,-62.81728035
IMG4419_3,11.71932192,33.58271965
IMG4420_1,45.11932192,-20.31728035
IMG4421_1,48.51932192,2.58271965
IMG4422_2,47.71932192,-15.41728035
IMG4423_4,-126.1806781,95.68271965
IMG4424_2,46.41932192,-65.21728035
IMG4425_3,50.51932192,0.48271965
IMG4426_5,7.019321919,42.38271965
IMG4427_3,-127.9806781,110.8827196
IMG4428_5,9.419321918,-66.61728035
IMG4429_2,64.11932192,-63.51728035
IMG4430_4,45.01932192,7.48271965
IMG4431_1,12.71932192,-43.01728035
IMG4432_3,-10.48067808,34.38271965
IMG4433_5,1.819321919,39.48271965
IMG4434_3,-9.380678081,27.88271965
IMG4435_5,-2.380678082,-57.01728035
IMG4436_5,36.41932192,-23.61728035
IMG4437_3,2.519321919,39.88271965
IMG4438_2,15.91932192,-61.51728035
IMG4439_4,64.11932192,-63.51728035
IMG4440_4,59.31932192,-62.81728035
IMG4441_3,7.019321919,42.38271965
IMG4442_5,59.01932192,-17.91728035
IMG4443_4,45.11932192,-18.21728035
IMG4444_5,-106.3806781,31.98271965
IMG4445_3,17.01932192,-64.91728035
IMG4446_5,-4.280678081,36.38271965
IMG4447_4,24.31932192,-66.81728035
IMG4448_3,-111.8806781,125.6827196
IMG4449_3,14.11932192,25.78271965
IMG4450_3,-31.48067808,39.58271965
IMG4451_2,33.71932192,6.18271965
IMG4452_1,5.719321918,-67.41728035
IMG4453_2,-4.580678082,22.38271965
IMG4454_2,-94.68067808,101.5827196
IMG4455_3,28.21932192,-12.31728035
IMG4456_2,35.81932192,-23.71728035
IMG4457_3,86.71932192,-24.31728035
IMG4458_1,82.21932192,-19.21728035
IMG4459_3,74.71932192,-12.51728035
IMG4460_1,51.31932192,-0.81728035
IMG4461_3,15.61932192,28.78271965
IMG4462_3,41.81932192,-54.21728035
IMG4463_1,18.61932192,-66.61728035
IMG4464_3,-9.380678081,27.88271965
IMG4465_3,28.81932192,-15.91728035
IMG4466_1,56.01932192,0.18271965
IMG4467_4,74.21932192,-39.61728035
IMG4468_3,38.01932192,2.98271965
IMG4469_4,-97.08067808,33.78271965
IMG4470_1,47.51932192,-52.71728035
IMG4471_5,66.21932192,-63.71728035
IMG4472_2,-4.780678081,27.38271965
IMG4473_1,4.219321919,24.08271965
IMG4474_4,56.61932192,-47.61728035
IMG4475_4,53.81932192,-47.21728035
IMG4476_4,54.31932192,-69.61728035
IMG4477_2,-158.6806781,22.68271965
IMG4478_2,3.519321919,-68.71728035
IMG4479_5,-103.6806781,51.58271965
IMG4480_2,35.11932192,-21.81728035
IMG4481_2,6.619321918,38.38271965
IMG4482_3,-54.08067808,59.58271965
IMG4483_1,31.41932192,-74.61728035
